candidate,loss,abs. diff. net power IO
[1 1 1 1],3615780.4479052275,321.8999999999999
[1 1 1 2],4339081.584398135,388.8999999999999
[1 1 1 3],5062382.720891044,455.90000000000003
[1 1 2 0],461460.5752545801,45.09999999999995
[1 1 2 1],282609.87379361223,21.900000000000045
[1 1 2 2],1005764.4599741672,88.90000000000005
[1 1 2 3],1728958.4733868758,155.9000000000001
[1 1 3 0],3774697.9777608723,345.1
[1 1 3 1],3051396.841267965,278.1
[1 1 3 2],2328095.7047750573,211.10000000000002
[1 1 3 3],1604933.3757466262,144.09999999999997
[1 2 0 0],6236725.773742152,555.9000000000001
[1 2 0 1],6960026.91023506,622.9000000000001
[1 2 0 2],7683328.046727967,689.9000000000001
[1 2 0 3],8406629.183220875,756.9000000000001
[1 2 1 0],2903137.129155555,255.89999999999995
[1 2 1 1],3626438.265648462,322.8999999999999
[1 2 1 2],4349739.402141369,389.8999999999999
[1 2 1 3],5073040.538634278,456.90000000000003
[1 2 2 0],452116.32908107917,44.09999999999995
[1 2 2 1],293265.8246047769,22.900000000000045
[1 2 2 2],1016420.4107853319,89.90000000000005
[1 2 2 3],1739615.4312200258,156.9000000000001
[1 2 3 0],3764040.160017638,344.1
[1 2 3 1],3040739.0235247305,277.1
[1 2 3 2],2317437.887031823,210.10000000000002
