,loss (temperature=1),loss (temperature=11),loss (temperature=21),loss (temperature=31),loss (temperature=41),loss (temperature=51),loss (temperature=61),loss (temperature=71),data path
60,3498.2517457206504,24923.43158002327,19628.68311100439,23459.796047291627,8319.5734083099,966.179415637872,212.55599882381767,96.68672605585436,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
61,24105.87793939002,18594.062013098723,916.8474960689108,28625.712972324603,441.52425128179937,6627.436917447998,75.41355678690718,7168.092675359469,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
62,2640.7552168410225,3282.935865439485,43.497656445611085,20394.89511227864,81.7569985423192,450.2552710481109,19376.650481789453,3068.0105722464973,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
63,34396.135026215714,739.4944578464977,556.2453756554451,2182.9797494965514,151.54633706980312,330.552733485717,628.0765520900397,76.84799348370828,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
64,14086.61659898258,7796.315987367798,111.48149103493908,360.0860866825171,2778.731255825672,9160.330566370933,3013.1107950325627,52.81888626625129,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
65,18102.46746481086,8574.881176079483,41.98384804000231,505.1201223663324,940.7972275132532,580.268035341601,733.7763386289573,337.28648496098333,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
66,18332.763031257236,352.50006048185264,4495.998828349269,66.50760336391424,194.996964836883,606.2574451824019,219.7709346153329,209.0559872659068,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
67,11861.14307826709,31895.441333480077,14421.178744994862,9385.337546542374,5881.225113049734,286.9165715300978,2317.4306542021745,118.77008577698776,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
68,10754.096743600683,10985.79416419616,11201.636257453883,3306.626172114548,11707.628219797436,74.08606330439136,152.37259199798658,12621.493250121388,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
69,24754.357036349167,29021.16693515187,1185.9812064795217,263.87228722862005,3009.095730725347,258.1541680110797,1970.10347448306,7724.394117470777,data/brute_force/candidate_space_1048576_instances_1_seed_2026-03-28_15-16-30.csv
